Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Project Based Query,100,7486,137,14666,4408.79,0.000%,4.27991,29.31,0.66,7012.0
Specific Query,100,6880,265,13132,3403.68,0.000%,3.76378,23.84,0.53,6487.0
TOTAL,200,7183,137,14666,3950.08,0.000%,7.48867,49.36,1.10,6749.5
